Name,Category,Rating,Rating Count,Price,Platform
Fallout Shelter,Games,4.6,3350956,0.0,Android
Talking Tom Cat 2,Entertainment,4.4,3310529,0.0,Android
WhatsApp Wallpaper,Personalization,4.1,3306308,0.0,Android
Bitmoji,Entertainment,4.6,3301113,0.0,Android
Episode - Choose Your Story,Games,4.2,3288937,0.0,Android
"Pandora - Streaming Music, Radio & Podcasts",Music & Audio,4.3,3256297,0.0,Android
iFood Delivery de Comida e Mercado,Food & Drink,4.8,3230410,0.0,Android
Monster Legends: Breed & Merge Heroes Battle Arena,Games,4.5,3216564,0.0,Android
WhatsApp Business,Communication,4.3,3166422,0.0,Android
Uber Eats: Food Delivery,Food & Drink,4.4,3142156,0.0,Android
ColorNote Notepad Notes,Productivity,4.8,3114861,0.0,Android
CamScanner - Scanner to scan PDF,Productivity,4.5,3107253,0.0,Android
My Talking Tom 2,Games,4.3,3086078,0.0,Android
DEAD TRIGGER 2 - Zombie Game FPS shooter,Games,4.5,3080963,0.0,Android
Bid Wars - Storage Auctions and Pawn Shop Tycoon,Games,4.4,3069876,0.0,Android
Myntra Online Shopping App - Shop Fashion & more,Shopping,4.3,3062246,0.0,Android
Marvel Contest of Champions,Games,4.2,3058878,0.0,Android
Toon Blast,Games,4.6,3010943,0.0,Android
Idle Miner Tycoon - Mine Manager Simulator,Games,4.6,3008031,0.0,Android
Granny,Games,4.2,2997517,0.0,Android
Kick the Buddy,Games,4.0,2948261,0.0,Android
Bubble Witch 2 Saga,Games,4.6,2942941,0.0,Android
Mobizen Screen Recorder,Productivity,4.2,2939434,0.0,Android
EA SPORTS UFC®,Games,4.4,2933598,0.0,Android
"GO SMS Pro - Messenger, Free Themes, Emoji",Communication,4.5,2932675,0.0,Android
KakaoTalk: Free Calls & Text,Communication,4.1,2929948,0.0,Android
"Xender - Share Music&Video,Status Saver,Transfer",Tools,4.0,2928696,0.0,Android
Mini Militia - Doodle Army 2,Games,4.1,2923649,0.0,Android
Banco do Brasil,Finance,4.7,2913891,0.0,Android
Bowling King,Games,4.6,2907594,0.0,Android
Bike Race Free - Top Motorcycle Racing Games,Games,4.3,2905711,0.0,Android
"Microsoft Excel: View, Edit, & Create Spreadsheets",Productivity,4.4,2896014,0.0,Android
myIM3 - Bonus Quota 100GB,Tools,4.4,2893697,0.0,Android
Joom. Shopping for every day.,Shopping,4.6,2886235,0.0,Android
DragonFlight,Games,4.2,2873206,0.0,Android
FarmVille 2: Country Escape,Games,4.4,2864721,0.0,Android
Avakin Life - 3D Virtual World,Games,4.3,2860792,0.0,Android
Shadow Fight 3 - RPG fighting game,Games,4.1,2856478,0.0,Android
"Solo Launcher-Clean,Smooth,DIY",Personalization,4.3,2849971,0.0,Android
World Cricket Championship 2 - WCC2,Games,4.3,2846240,0.0,Android
Special Forces Group 2,Games,4.3,2841957,0.0,Android
MARVEL Future Fight,Games,4.0,2841672,0.0,Android
Toy Blast,Games,4.6,2814821,0.0,Android
"Booking.com: Hotels, Apartments & Accommodation",Travel & Local,4.7,2812077,0.0,Android
"The Bible App Free + Audio, Offline, Daily Study",Books & Reference,4.8,2810580,0.0,Android
Samsung Internet Browser,Communication,4.4,2804492,0.0,Android
AFK Arena,Games,4.6,2804175,0.0,Android
Akinator,Entertainment,4.5,2797020,0.0,Android
Drag Racing,Games,4.4,2680633,0.0,Android
Google Earth,Travel & Local,4.4,2671296,0.0,Android
"YouCut - Video Editor & Video Maker, No Watermark",Video Players & Editors,4.8,2665733,0.0,Android
Gacha Life,Games,4.5,2658934,0.0,Android
Dragon Mania Legends,Games,4.4,2642039,0.0,Android
Carrom Pool: Disc Game,Games,4.2,2636895,0.0,Android
"GO Keyboard Lite - Emoji keyboard, Free Theme, GIF",Personalization,4.4,2632273,0.0,Android
"94% - Quiz, Trivia & Logic",Games,4.5,2606572,0.0,Android
CATS: Crash Arena Turbo Stars,Games,4.4,2587846,0.0,Android
Flight Pilot Simulator 3D Free,Games,4.2,2575590,0.0,Android
Amino: Communities and Chats,Social,4.5,2539083,0.0,Android
"JioSaavn Music & Radio – JioTunes, Podcasts, Songs",Music & Audio,3.8,2534740,0.0,Android
"Dolphin Browser - Fast, Private & Adblock🐬",Communication,4.1,2533374,0.0,Android
HP Print Service Plugin,Productivity,4.4,2531416,0.0,Android
Zynga Poker – Free Texas Holdem Online Card Games,Games,4.3,2527726,0.0,Android
Injustice: Gods Among Us,Games,4.4,2525639,0.0,Android
"WPS Office - Free Office Suite for Word,PDF,Excel",Productivity,4.6,2520221,0.0,Android
AccuWeather: Live weather maps & local forecast,Weather,4.2,2518622,0.0,Android
Cut the Rope FULL FREE,Games,4.5,2518020,0.0,Android
Kik,Communication,4.0,2497597,0.0,Android
CSR Racing,Games,4.5,2487871,0.0,Android
"Cymera Camera - Collage, Selfie Camera, Pic Editor",Photography,4.6,2483110,0.0,Android
Weather & Clock Widget for Android,Weather,4.5,2482937,0.0,Android
OK,Social,4.3,2467998,0.0,Android
Samsung Gallery,Photography,4.6,2444387,0.0,Android
Bubble Witch 3 Saga,Games,4.6,2441529,0.0,Android
Swamp Attack,Games,4.5,2413653,0.0,Android
Backgrounds HD (Wallpapers),Personalization,4.5,2403589,0.0,Android
Screen Recorder & Video Recorder - XRecorder,Video Players & Editors,4.7,2398573,0.0,Android
101 Yüzbir Okey Plus,Games,4.2,2391927,0.0,Android
"Discord - Talk, Video Chat & Hang Out with Friends",Communication,4.5,2361727,0.0,Android
Calorie Counter - MyFitnessPal,Health & Fitness,4.4,2360756,0.0,Android
GUNSHIP BATTLE: Helicopter 3D,Games,4.2,2358433,0.0,Android
Photo Lab Picture Editor & Art Face Editing Filter,Photography,4.4,2356343,0.0,Android
Real Steel World Robot Boxing,Games,4.5,2350469,0.0,Android
Android Accessibility Suite,Tools,4.2,2345955,0.0,Android
"Helo - Discover, Share & Communicate",Social,4.0,2339701,0.0,Android
