Name,Rating,Rating Count,Price,Category,Platform
CamScanner-Scanner to scan PDF,5.0,328733,0.0,Productivity,iOS
Asphalt 8: Airborne,4.5,326973,0.0,Games,iOS
Quizlet,5.0,325662,0.0,Education,iOS
Tasty,5.0,324084,0.0,Food & Drink,iOS
Jimmy John’s Sandwiches,5.0,322014,0.0,Food & Drink,iOS
Mini Golf MatchUp,4.5,320319,0.0,Games,iOS
Slotomania™ Vegas Casino Slots,4.5,318778,0.0,Games,iOS
Clumsy Ninja,4.5,317957,0.0,Games,iOS
Unblock Me,3.5,317815,0.0,Games,iOS
Make Money - Earn Easy Cash,5.0,316922,0.0,Lifestyle,iOS
DRAGON BALL LEGENDS,5.0,311795,0.0,Games,iOS
U by BB&T,5.0,311555,0.0,Finance,iOS
Geometry Dash,5.0,306662,1.99,Games,iOS
theCHIVE,4.5,305908,0.0,Entertainment,iOS
Slices,4.5,302230,0.0,Games,iOS
NCAA March Madness Live,4.5,301673,0.0,Sports,iOS
Draw it,4.5,301571,0.0,Games,iOS
Design Home,4.5,301471,0.0,Games,iOS
Pocket Frogs,4.5,301247,0.0,Games,iOS
My Talking Tom,4.5,301044,0.0,Games,iOS
RetailMeNot: Coupons & Savings,5.0,299522,0.0,Shopping,iOS
Go Fish!,4.5,298279,0.0,Games,iOS
My Horse,4.5,297989,0.0,Games,iOS
Cash App,4.5,297687,0.0,Finance,iOS
Checkers ・,3.5,296037,0.0,Games,iOS
ABC – Live TV & Full Episodes,4.5,294821,0.0,Entertainment,iOS
My Singing Monsters,4.5,294372,0.0,Games,iOS
Pick Me Up™,4.5,290822,0.0,Games,iOS
Mobile Legends: Bang Bang,4.5,288287,0.0,Games,iOS
Big Fish Casino: Slots & Games,4.5,287563,0.0,Games,iOS
Jurassic World™: The Game,4.5,286990,0.0,Games,iOS
Agar.io,4.5,286584,0.0,Games,iOS
Stack Ball 3D,4.5,284061,0.0,Games,iOS
Capital One Mobile,4.5,283391,0.0,Finance,iOS
Tic Tac Toe ∙,3.5,282350,0.0,Games,iOS
Partymasters - Fun Idle Game,4.5,281841,0.0,Games,iOS
Rolly Vortex,4.5,281321,0.0,Games,iOS
Color Hole 3D,4.5,276316,0.0,Games,iOS
Star Wars™: Galaxy of Heroes,4.5,276029,0.0,Games,iOS
My Home - Design Dreams,4.5,274538,0.0,Games,iOS
Paycom,4.5,273968,0.0,Business,iOS
TapDefense,3.5,273497,0.0,Games,iOS
FreeCell Solitaire Card Game,4.5,273146,0.0,Games,iOS
Rescue Cut - Rope Puzzle,4.5,270673,0.0,Games,iOS
Plants vs. Zombies™,5.0,270050,0.0,Games,iOS
Hungry Shark World,4.5,264625,0.0,Games,iOS
Hoopla Digital,4.5,263988,0.0,Book,iOS
Ultimate Guitar: Chords & Tabs,5.0,262946,0.0,Music,iOS
Solitaire Ⓞ,4.5,261756,0.0,Games,iOS
Taco Bell,4.5,261066,0.0,Food & Drink,iOS
Pictoword: Fun Word Quiz Games,4.5,260508,0.0,Games,iOS
Blazin' Rewards,5.0,260373,0.0,Food & Drink,iOS
Star Wars™: Commander,4.5,259883,0.0,Games,iOS
Bejeweled Classic,4.5,258743,0.0,Games,iOS
Experian Credit Report,5.0,258315,0.0,Finance,iOS
GunApp,3.0,257681,0.0,Games,iOS
Shotgun Free,3.0,257151,0.0,Entertainment,iOS
YouTube Music,4.5,257007,0.0,Music,iOS
Yahoo Finance,4.5,256423,0.0,Finance,iOS
Rodeo Stampede: Sky Zoo Safari,4.5,255944,0.0,Games,iOS
StickWars Lite,3.5,255852,0.0,Games,iOS
Stack Jump,4.5,255804,0.0,Games,iOS
PewDiePie's Tuber Simulator,5.0,253511,0.0,Games,iOS
Schwab Mobile,5.0,253183,0.0,Finance,iOS
CATS: Crash Arena Turbo Stars,5.0,252710,0.0,Games,iOS
My Talking Tom 2,4.5,250887,0.0,Games,iOS
Google Home,4.5,249605,0.0,Lifestyle,iOS
▻ Solitaire,4.5,249118,0.0,Games,iOS
TENKYU,4.5,246525,0.0,Games,iOS
Words With Friends – Word Game,4.5,245696,0.0,Games,iOS
Solitaire by Solebon,3.5,241672,0.0,Games,iOS
Cooking Fever,4.5,241436,0.0,Games,iOS
Dave - Banking For Humans,5.0,240445,0.0,Finance,iOS
My Talking Angela,4.5,238929,0.0,Games,iOS
Affirm: A better way to pay,5.0,237851,0.0,Shopping,iOS
NFL Fantasy Football,4.5,237774,0.0,Sports,iOS
Photomath,5.0,235953,0.0,Education,iOS
Chilis,5.0,235880,0.0,Food & Drink,iOS
SoundHound - Music Discovery,4.5,235681,0.0,Music,iOS
AT&T THANKS®,4.5,234270,0.0,Lifestyle,iOS
Pyramid Solitaire - Card Game,4.5,234196,0.0,Games,iOS
Sniper Shooter: Gun Shooting,5.0,233932,0.0,Games,iOS
Square Bird.,4.5,233328,0.0,Games,iOS
⋆Spider Solitaire,4.5,233235,0.0,Games,iOS
WesternUnion US Money Transfer,5.0,232867,0.0,Finance,iOS
Cooking Craze: Restaurant Game,4.5,232076,0.0,Games,iOS
FarmVille 2: Country Escape,4.5,231703,0.0,Games,iOS
Blackboard,4.5,231682,0.0,Education,iOS
Looper!,4.5,230518,0.0,Games,iOS
Jigsaw Puzzle Collection HD,4.5,230510,0.0,Games,iOS
AFK Arena,4.5,230188,0.0,Games,iOS
Differences - Find them All,4.5,229922,0.0,Games,iOS
"Adobe Scan: PDF Scanner, OCR",5.0,229825,0.0,Business,iOS
Mi Banco Mobile,5.0,228919,0.0,Finance,iOS
Plague Inc.,4.5,228655,0.99,Games,iOS
Smule - The Social Singing App,4.5,228369,0.0,Music,iOS
Bejeweled Blitz,4.0,227835,0.0,Games,iOS
Archery Go - Bow&Arrow King,4.5,227363,0.0,Games,iOS
Word Search Pro‧,4.5,226053,0.0,Games,iOS
Drum Pad Machine - Beat Maker,4.5,226010,0.0,Games,iOS
T-Mobile Tuesdays,4.5,224918,0.0,Lifestyle,iOS
Hit it Rich! Casino Slots Game,4.5,224871,0.0,Games,iOS
"Afterpay - Shop Now, Pay Later",5.0,224730,0.0,Shopping,iOS
BBVA United States,5.0,222961,0.0,Finance,iOS
"MeetMe - Go Live, Chat & Meet",4.0,222428,0.0,Social Networking,iOS
Sling Drift,4.5,221975,0.0,Games,iOS
Tiny Wings,4.5,221703,1.99,Games,iOS
7 Little Words: Word Puzzles,5.0,220754,0.0,Games,iOS
Spider ▻ Solitaire,4.5,220588,0.0,Games,iOS
Farm Heroes Saga,4.5,219907,0.0,Games,iOS
TurboScan™ Pro: PDF scanner,5.0,219643,5.99,Business,iOS
Microsoft Teams,5.0,218872,0.0,Business,iOS
Jelly Shift,4.5,218580,0.0,Games,iOS
Diamond Dash: Gem Puzzle Game,4.5,217073,0.0,Games,iOS
Elevate - Brain Training,5.0,216334,0.0,Education,iOS
Gymnastics Superstar,4.5,213891,0.0,Games,iOS
Mystery Manor HD,4.0,213701,0.0,Games,iOS
iTunes Remote,3.5,213452,0.0,Entertainment,iOS
Modern Combat 5,4.5,213337,0.0,Games,iOS
Documents by Readdle,4.5,212824,0.0,Productivity,iOS
Sheep Launcher Free!,3.5,212157,0.0,Games,iOS
Flappy Dunk,4.5,212079,0.0,Games,iOS
Word Collect: Word Games,5.0,210333,0.0,Games,iOS
Need for Speed No Limits,4.5,209357,0.0,Games,iOS
"Egg, Inc.",5.0,209337,0.0,Games,iOS
Murphy Drive Rewards,5.0,209061,0.0,Shopping,iOS
